"year","country","intensity","Reference_key","Scenario_key","scope"
2022,"Italy",15.30306648,"CRREM","CRREM EU Multi-family","Combined"
2022,"Latvia",22.72196515,"CRREM","CRREM EU Multi-family","Combined"
2022,"Lithuania",26.76352329,"CRREM","CRREM EU Multi-family","Combined"
2022,"Luxembourg",29.79019743,"CRREM","CRREM EU Multi-family","Combined"
2022,"Malta",13.88830531,"CRREM","CRREM EU Multi-family","Combined"
2022,"Netherlands",23.83306006,"CRREM","CRREM EU Multi-family","Combined"
2022,"Poland",59.52069687,"CRREM","CRREM EU Multi-family","Combined"
2022,"Portugal",9.978070842,"CRREM","CRREM EU Multi-family","Combined"
2022,"Romania",24.98384172,"CRREM","CRREM EU Multi-family","Combined"
2022,"Slovakia",17.84692939,"CRREM","CRREM EU Multi-family","Combined"
2022,"Slovenia",24.16725458,"CRREM","CRREM EU Multi-family","Combined"
2022,"Spain",11.95944829,"CRREM","CRREM EU Multi-family","Combined"
2022,"Sweden",5.89184652,"CRREM","CRREM EU Multi-family","Combined"
2022,"United Kingdom",24.03972198,"CRREM","CRREM EU Multi-family","Combined"
2022,"Croatia",20.11238801,"CRREM","CRREM EU Multi-family","Combined"
2022,"Switzerland",16.21142478,"CRREM","CRREM EU Multi-family","Combined"
2022,"Norway",10.83762302,"CRREM","CRREM EU Multi-family","Combined"
2023,"Austria",18.87741057,"CRREM","CRREM EU Multi-family","Combined"
2023,"Belgium",35.38129593,"CRREM","CRREM EU Multi-family","Combined"
2023,"Bulgaria",27.72205161,"CRREM","CRREM EU Multi-family","Combined"
2023,"Cyprus",16.46560557,"CRREM","CRREM EU Multi-family","Combined"
2023,"Czech Republic",46.76899301,"CRREM","CRREM EU Multi-family","Combined"
2023,"Denmark",13.92076715,"CRREM","CRREM EU Multi-family","Combined"
2023,"Estonia",77.64116056,"CRREM","CRREM EU Multi-family","Combined"
2023,"Finland",26.9756671,"CRREM","CRREM EU Multi-family","Combined"
2023,"France",14.69280935,"CRREM","CRREM EU Multi-family","Combined"
2023,"Germany",27.00210881,"CRREM","CRREM EU Multi-family","Combined"
2023,"Greece",25.18275364,"CRREM","CRREM EU Multi-family","Combined"
2023,"Hungary",20.57981644,"CRREM","CRREM EU Multi-family","Combined"
