"year","Country","Intensity_kgCO2/m2","abs_emissions_tCO2","Method"
2034,"China",8759.17775680208,791275392931.156,"SDA"
2035,"China",7584.93127847129,694490849641.568,"SDA"
2036,"China",6416.97162550297,595151182950.01,"SDA"
2037,"China",5296.86520106076,497323979055.274,"SDA"
2038,"China",4187.39033626149,397774357204.113,"SDA"
2039,"China",3115.54256713101,299266006966.229,"SDA"
2040,"China",2058.27316504927,199812177813.108,"SDA"
2041,"China",1824.30385032495,178888769870.267,"SDA"
2042,"China",1592.81676808608,157687313119.176,"SDA"
2043,"China",1373.33985351258,137194895092.209,"SDA"
2044,"China",1160.26249287217,116905728256.814,"SDA"
2045,"China",950.554886499713,96553563151.0948,"SDA"
2046,"China",749.962450956288,76761656705.1799,"SDA"
2047,"China",553.248121466096,57034902090.0613,"SDA"
2048,"China",363.984418747603,37776850868.5575,"SDA"
2049,"China",179.053193961664,18704791907.2052,"SDA"
2050,"China",0.101223265431034,10640690.8853757,"SDA"
2020,"Hong Kong",80651.81895,12890015055.1572,"SDA"
2021,"Hong Kong",75905.0517813885,12212600847.7653,"SDA"
2022,"Hong Kong",69805.2430541683,11297798888.6799,"SDA"
2023,"Hong Kong",64196.4887797355,10446511601.3565,"SDA"
2024,"Hong Kong",58764.3797834091,9613650394.85214,"SDA"
2025,"Hong Kong",53499.3765741394,8800631578.53084,"SDA"
2026,"Hong Kong",48392.6836685183,8006483615.94283,"SDA"
2027,"Hong Kong",43436.044054015,7228642874.63742,"SDA"
2028,"Hong Kong",38621.8234535304,6464747994.80403,"SDA"
2029,"Hong Kong",33824.972661869,5692754162.70846,"SDA"
2030,"Hong Kong",29291.9628454103,4954194902.83489,"SDA"
2031,"Hong Kong",26531.4163823703,4506932917.42859,"SDA"
2032,"Hong Kong",23762.829743085,4052256647.61243,"SDA"
2033,"Hong Kong",21148.5623935889,3618740040.7092,"SDA"
2034,"Hong Kong",18537.4591915698,3181510026.82474,"SDA"
2035,"Hong Kong",16052.3310814893,2762370437.80051,"SDA"
2036,"Hong Kong",13580.5081562398,2342491696.36581,"SDA"
2037,"Hong Kong",11209.9598829165,1937497398.95204,"SDA"
2038,"Hong Kong",8861.91181564881,1534314891.82284,"SDA"
2039,"Hong Kong",6593.4962232259,1143268107.5843,"SDA"
2040,"Hong Kong",4355.93370161942,756263129.590659,"SDA"
2041,"Hong Kong",3860.77043594438,671040230.723867,"SDA"
2042,"Hong Kong",3370.86046745966,586447123.795602,"SDA"
2043,"Hong Kong",2906.36833570919,506051550.782108,"SDA"
2044,"Hong Kong",2455.41996301151,427838603.755571,"SDA"
2045,"Hong Kong",2011.60320297769,350727322.867693,"SDA"
2046,"Hong Kong",1587.0774245848,276865540.703459,"SDA"
2047,"Hong Kong",1170.75911416786,204342517.989143,"SDA"
2048,"Hong Kong",770.209011167121,134493249.784224,"SDA"
2049,"Hong Kong",378.827990548301,66179456.577081,"SDA"
2050,"Hong Kong",0.101223265431034,17690.5136282769,"SDA"
2020,"India",31149.73002,550126066089.212,"SDA"
2021,"India",29316.4146306396,529618638855.155,"SDA"
2022,"India",26960.522122215,498954783659.168,"SDA"
2023,"India",24698.1471299942,468881937562.022,"SDA"
2024,"India",22421.711278226,437189663209.891,"SDA"
2025,"India",20214.9858673324,405287442296.702,"SDA"
2026,"India",18084.0734037362,373175551704.859,"SDA"
2027,"India",16033.6193773207,340853714482.728,"SDA"
2028,"India",14066.9775799458,308322138274.791,"SDA"
2029,"India",12185.9905384351,275573745487.713,"SDA"
2030,"India",10392.3898638823,242622552970.826,"SDA"
2031,"India",9297.52448012184,224207351359.858,"SDA"
2032,"India",8245.06881726441,205464342645.515,"SDA"
2033,"India",7236.04876964165,186407543787.911,"SDA"
2034,"India",6269.95527444123,167022937833.855,"SDA"
2035,"India",5347.02030830956,147324541743.462,"SDA"
2036,"India",4466.13275382318,127298338549.693,"SDA"
2037,"India",3626.96150928802,106958345219.587,"SDA"
2038,"India",2828.00044528896,86290544786.1055,"SDA"
2039,"India",2068.54522371209,65308954218.3638,"SDA"
2040,"India",1346.85930413865,43999556545.4466,"SDA"
2041,"India",1172.89408937768,39644392315.3053,"SDA"
2042,"India",1008.69095827108,35272991559.0037,"SDA"
2043,"India",854.186541956431,30899371249.7417,"SDA"
2044,"India",708.707003648079,26516522900.7464,"SDA"
2045,"India",571.61281720269,22117438025.2447,"SDA"
2046,"India",442.82480070526,17716133596.5057,"SDA"
2047,"India",321.552030037977,13298592641.2603,"SDA"
2048,"India",207.719675045585,8878832133.47,"SDA"
2049,"India",100.590703625769,4442835098.48093,"SDA"
2050,"India",0.101223265431034,4618510.94684891,"SDA"
2020,"Japan",52449.79951,361031593752.668,"SDA"
2021,"Japan",49362.8658048233,342534003086.594,"SDA"
2022,"Japan",45396.0175297067,317339091640.196,"SDA"
2023,"Japan",41748.5134498163,293810684393.495,"SDA"
2024,"Japan",38215.8859255852,270599047087.326,"SDA"
2025,"Japan",34791.9312028783,247723700379.277,"SDA"
