"year","Country","Intensity_kgCO2/m2","abs_emissions_tCO2","Method"
2046,"Australia",1.10320189,3368773.31084571,"CRREM"
2047,"Australia",0.890534459,2754667.28582742,"CRREM"
2048,"Australia",0.702590188,2201255.32936581,"CRREM"
2049,"Australia",0.530052429,1681846.78234992,"CRREM"
2050,"Australia",0.365665842,1174901.93119402,"CRREM"
2020,"Brazil",8.487915147,44237873.4372036,"CRREM"
2021,"Brazil",7.965427286,42370605.0868584,"CRREM"
2022,"Brazil",7.360539056,39951323.5313111,"CRREM"
2023,"Brazil",6.783946704,37564336.6173398,"CRREM"
2024,"Brazil",6.235441508,35216010.8778697,"CRREM"
2025,"Brazil",5.735017517,33029143.1705339,"CRREM"
2026,"Brazil",5.219716088,30648624.1267755,"CRREM"
2027,"Brazil",4.750430776,28432332.0886446,"CRREM"
2028,"Brazil",4.30548426,26262288.8875154,"CRREM"
2029,"Brazil",3.883931862,24139636.5765255,"CRREM"
2030,"Brazil",3.464733613,21937985.0667539,"CRREM"
2031,"Brazil",3.10684289,20037097.7903876,"CRREM"
2032,"Brazil",2.755411273,18097271.0233913,"CRREM"
2033,"Brazil",2.424228976,16211958.8822501,"CRREM"
2034,"Brazil",2.112518684,14382129.3832007,"CRREM"
2035,"Brazil",1.820513813,12615499.2058063,"CRREM"
2036,"Brazil",1.543759378,10886953.7936091,"CRREM"
2037,"Brazil",1.287143764,9236341.87394612,"CRREM"
2038,"Brazil",1.067990511,7796823.69442806,"CRREM"
2039,"Brazil",0.891890644,6623260.15147499,"CRREM"
2040,"Brazil",0.750348188,5667176.03563047,"CRREM"
2041,"Brazil",0.672666481,5166332.02337471,"CRREM"
2042,"Brazil",0.614279862,4796933.08958034,"CRREM"
2043,"Brazil",0.563027821,4469711.05985133,"CRREM"
2044,"Brazil",0.518481958,4183829.10209018,"CRREM"
2045,"Brazil",0.476703485,3909479.02060426,"CRREM"
2046,"Brazil",0.447085175,3725904.72646605,"CRREM"
2047,"Brazil",0.418570224,3544234.13931657,"CRREM"
2048,"Brazil",0.393408368,3384176.11263867,"CRREM"
2049,"Brazil",0.370285669,3235528.48575967,"CRREM"
2050,"Brazil",0.348167657,3089870.93672548,"CRREM"
2020,"Canada",19.02815207,63787273.5367064,"CRREM"
2021,"Canada",17.79851225,60777068.0288631,"CRREM"
2022,"Canada",16.38844428,56980590.8069093,"CRREM"
2023,"Canada",15.04982846,53256888.6673602,"CRREM"
2024,"Canada",13.77651497,49598362.4449465,"CRREM"
2025,"Canada",12.58554803,46080692.9604726,"CRREM"
2026,"Canada",11.36237954,42293763.6924749,"CRREM"
2027,"Canada",10.24764839,38764881.8326568,"CRREM"
2028,"Canada",9.194375484,35334273.9642335,"CRREM"
2029,"Canada",8.201826256,32011190.5919336,"CRREM"
2030,"Canada",7.237346341,28678106.0800517,"CRREM"
2031,"Canada",6.422353757,25829282.3133236,"CRREM"
2032,"Canada",5.627665752,22964921.6650368,"CRREM"
2033,"Canada",4.883113186,20212859.2847447,"CRREM"
2034,"Canada",4.186495465,17573391.236628,"CRREM"
2035,"Canada",3.537817512,15055592.5827271,"CRREM"
2036,"Canada",2.927003636,12624966.7960739,"CRREM"
2037,"Canada",2.364120784,10332649.8688346,"CRREM"
2038,"Canada",1.885553474,8348525.16727985,"CRREM"
2039,"Canada",1.502180917,6736261.10142255,"CRREM"
2040,"Canada",1.194919711,5425765.92846107,"CRREM"
2041,"Canada",1.024506333,4709397.8121744,"CRREM"
2042,"Canada",0.895883364,4168080.28443192,"CRREM"
2043,"Canada",0.783172028,3687089.89539421,"CRREM"
2044,"Canada",0.685294256,3264045.37103163,"CRREM"
2045,"Canada",0.593926595,2861392.14918147,"CRREM"
2046,"Canada",0.528338507,2574172.57822542,"CRREM"
2047,"Canada",0.46553568,2293383.21510791,"CRREM"
2048,"Canada",0.41008206,2042265.87713975,"CRREM"
2049,"Canada",0.359218179,1808170.13467882,"CRREM"
2050,"Canada",0.310797051,1580960.1413042,"CRREM"
2020,"China",22.35222947,1540330637.64463,"CRREM"
2021,"China",21.01710314,1486046893.93505,"CRREM"
2022,"China",19.47166611,1410930422.4734,"CRREM"
2023,"China",18.01250689,1336062321.16253,"CRREM"
2024,"China",16.6307847,1261393654.11904,"CRREM"
2025,"China",15.37517258,1191252819.84959,"CRREM"
2026,"China",14.06393687,1112040798.4878,"CRREM"
2027,"China",12.86586599,1037259993.05673,"CRREM"
2028,"China",11.71809399,962419850.354503,"CRREM"
2029,"China",10.61540596,887452359.413351,"CRREM"
2030,"China",9.515553523,809098508.380805,"CRREM"
2031,"China",8.579536066,741417787.253513,"CRREM"
2032,"China",7.638373658,670376234.803943,"CRREM"
2033,"China",6.704595436,597183919.111635,"CRREM"
2034,"China",5.793714124,523385133.546215,"CRREM"
2035,"China",4.928007549,451217819.132945,"CRREM"
2036,"China",4.094245767,379726661.379328,"CRREM"
2037,"China",3.311517667,310919209.825175,"CRREM"
2038,"China",2.635644438,250368770.989726,"CRREM"
2039,"China",2.087379674,200504973.564105,"CRREM"
2040,"China",1.642290294,159429567.376016,"CRREM"
2041,"China",1.398034276,137089351.549393,"CRREM"
2042,"China",1.213211801,120106790.044684,"CRREM"
2043,"China",1.049189606,104812699.900059,"CRREM"
2044,"China",0.905032766,91189291.436628,"CRREM"
2045,"China",0.767891482,77999345.175632,"CRREM"
2046,"China",0.669602496,68536493.875584,"CRREM"
2047,"China",0.573580828,59131021.139348,"CRREM"
2048,"China",0.487409681,50586788.561947,"CRREM"
2049,"China",0.4068135,42497772.2775,"CRREM"
2050,"China",0.328389585,34520641.564785,"CRREM"
2020,"Hong Kong",57.5201484,9193042.24633209,"CRREM"
2021,"Hong Kong",54.03189815,8693360.8457778,"CRREM"
2022,"Hong Kong",49.87779358,8072592.49051899,"CRREM"
2023,"Hong Kong",45.85516247,7461879.86026041,"CRREM"
2024,"Hong Kong",41.98221547,6868146.04046723,"CRREM"
2025,"Hong Kong",38.41573562,6319377.11538282,"CRREM"
2026,"Hong Kong",34.72646799,5745432.48946482,"CRREM"
2027,"Hong Kong",31.35274975,5217736.46786968,"CRREM"
2028,"Hong Kong",28.15025592,4711955.42414,"CRREM"
2029,"Hong Kong",25.11827935,4227414.77899202,"CRREM"
2030,"Hong Kong",22.15537389,3747172.59391299,"CRREM"
2031,"Hong Kong",19.64659531,3337397.66629551,"CRREM"
2032,"Hong Kong",17.18600329,2930715.61050331,"CRREM"
2033,"Hong Kong",14.86910309,2544258.92974775,"CRREM"
2034,"Hong Kong",12.69024343,2177975.75698791,"CRREM"
2035,"Hong Kong",10.6507782,1832842.51302151,"CRREM"
2036,"Hong Kong",8.719635625,1504043.42841273,"CRREM"
2037,"Hong Kong",6.930385629,1197828.02705523,"CRREM"
2038,"Hong Kong",5.402339264,935338.757128853,"CRREM"
2039,"Hong Kong",4.173498592,723656.718035875,"CRREM"
2040,"Hong Kong",3.184634863,552906.011218792,"CRREM"
2041,"Hong Kong",2.637035669,458342.979234915,"CRREM"
2042,"Hong Kong",2.22296828,386742.010439048,"CRREM"
2043,"Hong Kong",1.858500792,323598.766324945,"CRREM"
2044,"Hong Kong",1.540577552,268434.141105729,"CRREM"
2045,"Hong Kong",1.242050542,216554.16973745,"CRREM"
2046,"Hong Kong",1.027309383,179214.046768034,"CRREM"
2047,"Hong Kong",0.820367551,143185.706623414,"CRREM"
2048,"Hong Kong",0.636615752,111165.307220393,"CRREM"
2049,"Hong Kong",0.467005649,81583.6760755576,"CRREM"
2050,"Hong Kong",0.304434462,53205.1794218939,"CRREM"
2020,"India",26.59194344,469632360.374275,"CRREM"
2021,"India",24.82366501,448454418.442154,"CRREM"
2022,"India",22.76713217,421348275.635278,"CRREM"
2023,"India",20.78885989,394666079.751826,"CRREM"
2024,"India",18.89766026,368475966.085047,"CRREM"
2025,"India",17.16321731,344102958.607228,"CRREM"
2026,"India",15.39627159,317711171.400636,"CRREM"
2027,"India",13.79030788,293163854.906472,"CRREM"
2028,"India",12.28140188,269185620.5168,"CRREM"
2029,"India",10.86882177,245787317.391265,"CRREM"
2030,"India",9.509359313,222007167.153664,"CRREM"
2031,"India",8.363269866,201678047.675224,"CRREM"
2032,"India",7.258928399,180890054.99729,"CRREM"
2033,"India",6.235429297,160630628.222605,"CRREM"
2034,"India",5.289348703,140900934.844624,"CRREM"
2035,"India",4.419955973,121781469.061666,"CRREM"
2036,"India",3.613727431,103002199.731738,"CRREM"
2037,"India",2.882414023,85001793.7461739,"CRREM"
2038,"India",2.269196438,69239804.1124432,"CRREM"
2039,"India",1.784175337,56330712.0704675,"CRREM"
2040,"India",1.400857547,45763585.4479696,"CRREM"
2041,"India",1.187618346,40142079.3710873,"CRREM"
2042,"India",1.027974449,35947317.4267354,"CRREM"
2043,"India",0.890458632,32211478.9934358,"CRREM"
2044,"India",0.773198527,28929496.029363,"CRREM"
2045,"India",0.666299555,25781155.8286578,"CRREM"
2046,"India",0.5906277,23629298.1385236,"CRREM"
2047,"India",0.52013662,21511557.636147,"CRREM"
2048,"India",0.459575054,19644214.0413561,"CRREM"
2049,"India",0.40572096,17919661.1247841,"CRREM"
2050,"India",0.356163705,16250670.8651235,"CRREM"
2020,"Japan",32.49500135,223675252.06934,"CRREM"
2021,"Japan",30.65785784,212738028.896386,"CRREM"
2022,"Japan",28.42779399,198723386.169674,"CRREM"
2023,"Japan",26.25461825,184770347.950111,"CRREM"
2024,"Japan",24.14929455,170996326.129553,"CRREM"
2025,"Japan",22.20276982,158087007.772214,"CRREM"
2026,"Japan",20.16871638,144324505.551121,"CRREM"
2027,"Japan",18.3003858,131545346.356115,"CRREM"
2028,"Japan",16.51561444,119194983.587255,"CRREM"
2029,"Japan",14.81494965,107304872.242623,"CRREM"
2030,"Japan",13.13962539,95472718.8309367,"CRREM"
2031,"Japan",11.71770682,85378717.5237402,"CRREM"
2032,"Japan",10.31125631,75313913.1939067,"CRREM"
2033,"Japan",8.977410277,65709669.3114309,"CRREM"
2034,"Japan",7.71368675,56561965.4641187,"CRREM"
2035,"Japan",6.521797376,47895570.1073995,"CRREM"
2036,"Japan",5.38383297,39589300.2173418,"CRREM"
2037,"Japan",4.320947363,31807337.6015428,"CRREM"
2038,"Japan",3.407302846,25103610.8249251,"CRREM"
2039,"Japan",2.668547825,19674496.0419505,"CRREM"
2040,"Japan",2.070684951,15275056.9409831,"CRREM"
2041,"Japan",1.741291992,12850751.3474629,"CRREM"
2042,"Japan",1.491995667,11014667.0948971,"CRREM"
2043,"Japan",1.27123347,9387407.17810051,"CRREM"
2044,"Japan",1.077520866,7958715.75501313,"CRREM"
2045,"Japan",0.893998983,6604539.5901876,"CRREM"
2046,"Japan",0.762077195,5631119.59077866,"CRREM"
2047,"Japan",0.633667308,4683388.42664279,"CRREM"
2048,"Japan",0.518792818,3835478.27715829,"CRREM"
2049,"Japan",0.411780086,3045453.48336556,"CRREM"
2050,"Japan",0.308092574,2279680.67747196,"CRREM"
2020,"Malaysia",39.77706397,47803631.7262203,"CRREM"
2021,"Malaysia",37.22586024,45732957.0930415,"CRREM"
2022,"Malaysia",34.27841924,43042808.6307283,"CRREM"
2023,"Malaysia",31.46947181,40383404.7552608,"CRREM"
2024,"Malaysia",28.79840306,37761871.6559301,"CRREM"
2025,"Malaysia",26.36158555,35315543.1657184,"CRREM"
2026,"Malaysia",23.85656734,32647425.8158465,"CRREM"
2027,"Malaysia",21.57613668,30157718.748555,"CRREM"
2028,"Malaysia",19.41612474,27714575.7937278,"CRREM"
2029,"Malaysia",17.3719627,25319344.7591066,"CRREM"
2030,"Malaysia",15.37075945,22871455.5806646,"CRREM"
2031,"Malaysia",13.67636011,20773084.0120597,"CRREM"
2032,"Malaysia",12.00774349,18614912.1619257,"CRREM"
2033,"Malaysia",10.43024885,16500637.1070346,"CRREM"
2034,"Malaysia",8.939934574,14430598.320197,"CRREM"
2035,"Malaysia",7.538149075,12413561.4786644,"CRREM"
2036,"Malaysia",6.203854308,10421084.8047971,"CRREM"
2037,"Malaysia",4.961489469,8500047.38986514,"CRREM"
2038,"Malaysia",3.896304,6807045.1152587,"CRREM"
2039,"Malaysia",3.036917336,5409712.8973061,"CRREM"
2040,"Malaysia",2.343277468,4255393.34643642,"CRREM"
2041,"Malaysia",1.959270031,3626809.28421641,"CRREM"
2042,"Malaysia",1.668412239,3147663.56718069,"CRREM"
2043,"Malaysia",1.411758808,2714191.41625974,"CRREM"
2044,"Malaysia",1.187485418,2326184.86314106,"CRREM"
2045,"Malaysia",0.976636629,1949064.98643393,"CRREM"
2046,"Malaysia",0.825068758,1677268.8649954,"CRREM"
2047,"Malaysia",0.679113359,1406100.56229165,"CRREM"
2048,"Malaysia",0.549829504,1159328.54784086,"CRREM"
2049,"Malaysia",0.430961273,925261.354823122,"CRREM"
2050,"Malaysia",0.317647531,694325.562312321,"CRREM"
2020,"Mexico",11.618481,16049700.6047674,"CRREM"
2021,"Mexico",10.99643589,15503576.8369376,"CRREM"
2022,"Mexico",10.24548545,14739354.4176613,"CRREM"
2023,"Mexico",9.520744398,13972965.0514894,"CRREM"
2024,"Mexico",8.822534036,13206589.0152926,"CRREM"
2025,"Mexico",8.180893946,12487850.5433885,"CRREM"
2026,"Mexico",7.503938907,11678249.8375768,"CRREM"
2027,"Mexico",6.881786385,10917043.6738727,"CRREM"
2028,"Mexico",6.283168454,10158127.1063054,"CRREM"
2029,"Mexico",5.707263609,9401809.09550133,"CRREM"
2030,"Mexico",5.121956809,8595817.17580717,"CRREM"
2031,"Mexico",4.619558964,7896604.94288347,"CRREM"
2032,"Mexico",4.11551475,7164323.58134575,"CRREM"
2033,"Mexico",3.631854856,6437462.4743983,"CRREM"
2034,"Mexico",3.167923275,5716387.46530406,"CRREM"
2035,"Mexico",2.724716893,5004448.41768569,"CRREM"
2036,"Mexico",2.295420066,4290553.43964528,"CRREM"
2037,"Mexico",1.888771114,3592333.47841376,"CRREM"
2038,"Mexico",1.535514058,2971176.74622423,"CRREM"
2039,"Mexico",1.247639242,2455690.34438535,"CRREM"
2040,"Mexico",1.012823143,2027504.61896689,"CRREM"
2041,"Mexico",0.886380892,1804376.99871978,"CRREM"
2042,"Mexico",0.79150833,1638238.93531133,"CRREM"
2043,"Mexico",0.706988897,1487601.33203848,"CRREM"
2044,"Mexico",0.632483192,1352737.86774624,"CRREM"
2045,"Mexico",0.560860994,1219130.42019312,"CRREM"
2046,"Mexico",0.510691761,1128040.51626736,"CRREM"
2047,"Mexico",0.460988048,1034589.60498262,"CRREM"
2048,"Mexico",0.416333346,949237.594162593,"CRREM"
2049,"Mexico",0.374261647,866778.277652746,"CRREM"
2050,"Mexico",0.332708461,782600.517394569,"CRREM"
2020,"New Zealand",12.98549308,3522816.70935629,"CRREM"
2021,"New Zealand",12.20090678,3367398.30517784,"CRREM"
2022,"New Zealand",11.28449966,3167800.19754903,"CRREM"
2023,"New Zealand",10.39239403,2966670.18972135,"CRREM"
2024,"New Zealand",9.532619879,2766635.10304682,"CRREM"
2025,"New Zealand",8.741237554,2578747.25218187,"CRREM"
2026,"New Zealand",7.923264639,2375467.04806995,"CRREM"
2027,"New Zealand",7.175624328,2185891.6102004,"CRREM"
2028,"New Zealand",6.466356551,2001105.53300551,"CRREM"
2029,"New Zealand",5.795268568,1821565.61730551,"CRREM"
2030,"New Zealand",5.139925713,1640629.69794552,"CRREM"
2031,"New Zealand",4.585298129,1486029.17280738,"CRREM"
2032,"New Zealand",4.041719054,1329711.37303617,"CRREM"
2033,"New Zealand",3.530242687,1178839.40504867,"CRREM"
2034,"New Zealand",3.049590856,1033426.44730724,"CRREM"
2035,"New Zealand",2.600030511,893995.128429721,"CRREM"
2036,"New Zealand",2.17468522,758585.034639515,"CRREM"
2037,"New Zealand",1.780921987,630141.319653868,"CRREM"
2038,"New Zealand",1.444966692,518527.338667198,"CRREM"
2039,"New Zealand",1.175113704,427613.607449429,"CRREM"
2040,"New Zealand",0.958260168,353550.400705633,"CRREM"
2041,"New Zealand",0.838591395,313656.590086341,"CRREM"
2042,"New Zealand",0.748369508,283724.861407295,"CRREM"
2043,"New Zealand",0.669123962,257103.297075442,"CRREM"
2044,"New Zealand",0.600171051,233689.697500055,"CRREM"
2045,"New Zealand",0.535540826,211283.446743144,"CRREM"
2046,"New Zealand",0.489353134,195591.374668924,"CRREM"
2047,"New Zealand",0.444923613,180141.764318479,"CRREM"
2048,"New Zealand",0.405623776,166342.137561317,"CRREM"
2049,"New Zealand",0.369465745,153444.848622433,"CRREM"
2050,"New Zealand",0.334889972,140841.260014705,"CRREM"
2020,"Philippines",32.17531261,20081242.7115706,"CRREM"
2021,"Philippines",30.0815054,19192155.3138142,"CRREM"
2022,"Philippines",27.6734349,18046065.3717565,"CRREM"
2023,"Philippines",25.38217011,16915384.3668848,"CRREM"
2024,"Philippines",23.20687772,15803069.9294183,"CRREM"
2025,"Philippines",21.22449049,14766286.0704778,"CRREM"
2026,"Philippines",19.19215007,13639682.5370459,"CRREM"
2027,"Philippines",17.34430664,12589874.0976867,"CRREM"
2028,"Philippines",15.5971236,11561916.7484363,"CRREM"
2029,"Philippines",13.94664199,10556327.8269511,"CRREM"
2030,"Philippines",12.33448276,9531451.95453034,"CRREM"
2031,"Philippines",10.9704973,8653591.83110726,"CRREM"
2032,"Philippines",9.630462345,7753296.07530726,"CRREM"
2033,"Philippines",8.366190581,6873428.80395349,"CRREM"
2034,"Philippines",7.174309742,6014087.78015086,"CRREM"
2035,"Philippines",6.05564648,5178832.12396768,"CRREM"
2036,"Philippines",4.993326332,4355930.39532049,"CRREM"
2037,"Philippines",4.006451285,3564583.41103576,"CRREM"
2038,"Philippines",3.161928474,2868781.54306521,"CRREM"
2039,"Philippines",2.481712508,2295791.04646037,"CRREM"
2040,"Philippines",1.933659595,1823625.50730346,"CRREM"
2041,"Philippines",1.630109096,1567064.0080858,"CRREM"
2042,"Philippines",1.400407037,1372078.20752983,"CRREM"
2043,"Philippines",1.198128542,1196252.95276099,"CRREM"
2044,"Philippines",1.021736236,1039427.91975152,"CRREM"
2045,"Philippines",0.85634012,887522.240023869,"CRREM"
2046,"Philippines",0.737603074,778708.477744154,"CRREM"
2047,"Philippines",0.623593577,670525.631199284,"CRREM"
2048,"Philippines",0.522879586,572558.436642771,"CRREM"
2049,"Philippines",0.430556172,480060.130821237,"CRREM"
2050,"Philippines",0.342827912,389164.741710946,"CRREM"
2020,"Singapore",27.53570883,5331631.86467776,"CRREM"
2021,"Singapore",26.04762551,5091723.51483549,"CRREM"
2022,"Singapore",24.2180645,4771833.11424961,"CRREM"
2023,"Singapore",22.42824037,4449379.27678471,"CRREM"
2024,"Singapore",20.68765377,4129955.69442632,"CRREM"
2025,"Singapore",19.07461748,3831626.04364419,"CRREM"
2026,"Singapore",17.37782228,3512658.74184672,"CRREM"
2027,"Singapore",15.81511248,3216647.89387323,"CRREM"
2028,"Singapore",14.31626467,2929500.77875924,"CRREM"
2029,"Singapore",12.88212097,2651288.40427434,"CRREM"
2030,"Singapore",11.46182596,2371655.05858412,"CRREM"
2031,"Singapore",10.25480404,2132465.70850281,"CRREM"
2032,"Singapore",9.054097694,1891520.73423205,"CRREM"
2033,"Singapore",7.909888001,1659587.24841958,"CRREM"
2034,"Singapore",6.820358148,1436646.38475538,"CRREM"
2035,"Singapore",5.787398359,1223454.87876252,"CRREM"
2036,"Singapore",4.795479309,1017059.1295163,"CRREM"
2037,"Singapore",3.863748949,821829.135008652,"CRREM"
2038,"Singapore",3.059173273,652355.281403688,"CRREM"
2039,"Singapore",2.406103221,514222.806988624,"CRREM"
2040,"Singapore",1.875433445,401556.807575725,"CRREM"
2041,"Singapore",1.584215299,339718.844826178,"CRREM"
2042,"Singapore",1.36370733,292779.731049849,"CRREM"
2043,"Singapore",1.167573889,250888.755973614,"CRREM"
2044,"Singapore",0.994714194,213865.671147533,"CRREM"
2045,"Singapore",0.82983404,178466.008713401,"CRREM"
2046,"Singapore",0.711375892,152991.288567255,"CRREM"
2047,"Singapore",0.595167512,127965.545257034,"CRREM"
2048,"Singapore",0.490586138,105424.104569353,"CRREM"
2049,"Singapore",0.39241957,84269.0909157842,"CRREM"
2050,"Singapore",0.296461101,63606.5003148737,"CRREM"
2020,"South Korea",20.57833311,56015724.943737,"CRREM"
2021,"South Korea",19.47500855,53441590.3480263,"CRREM"
2022,"South Korea",18.11625622,50080962.3062935,"CRREM"
2023,"South Korea",16.7864203,46717872.0984363,"CRREM"
2024,"South Korea",15.49260067,43381548.4589706,"CRREM"
2025,"South Korea",14.29331795,40245791.1456319,"CRREM"
2026,"South Korea",13.03071795,36874705.1094167,"CRREM"
2027,"South Korea",11.86757895,33734615.5098312,"CRREM"
2028,"South Korea",10.75146189,30685213.8389527,"CRREM"
2029,"South Korea",9.683024175,27735031.9098341,"CRREM"
2030,"South Korea",8.624229542,24780781.9179375,"CRREM"
2031,"South Korea",7.724393714,22257162.3082961,"CRREM"
2032,"South Korea",6.828649901,19724085.2162372,"CRREM"
2033,"South Korea",5.974586578,17293562.1460777,"CRREM"
2034,"South Korea",5.16087053,14965245.6423174,"CRREM"
2035,"South Korea",4.388948247,12746381.0367374,"CRREM"
2036,"South Korea",3.647198299,10605814.232492,"CRREM"
2037,"South Korea",2.950014024,8587580.37743973,"CRREM"
2038,"South Korea",2.347734809,6840264.39183368,"CRREM"
2039,"South Korea",1.858775837,5419435.30594701,"CRREM"
2040,"South Korea",1.4614031,4263214.91472077,"CRREM"
2041,"South Korea",1.243794893,3629978.7169529,"CRREM"
2042,"South Korea",1.079216903,3150728.2312564,"CRREM"
2043,"South Korea",0.932853723,2724157.90626216,"CRREM"
2044,"South Korea",0.803900694,2348108.17508697,"CRREM"
2045,"South Korea",0.680851623,1989098.96739558,"CRREM"
2046,"South Korea",0.592713148,1731963.51096881,"CRREM"
2047,"South Korea",0.506200887,1479517.71764727,"CRREM"
2048,"South Korea",0.428397725,1252480.92349554,"CRREM"
2049,"South Korea",0.355389755,1039417.26494262,"CRREM"
2050,"South Korea",0.283991549,830991.527566152,"CRREM"
2020,"USA",45.80475058,1459613748.39451,"CRREM"
2021,"USA",42.74684662,1387554733.37506,"CRREM"
2022,"USA",39.26195408,1297630745.01233,"CRREM"
2023,"USA",35.9611139,1209671290.49661,"CRREM"
2024,"USA",32.8286057,1123493086.0804,"CRREM"
2025,"USA",29.90469649,1040821526.67565,"CRREM"
2026,"USA",26.91282853,952261845.587841,"CRREM"
2027,"USA",24.19112522,869881941.379504,"CRREM"
2028,"USA",21.62563881,790010527.153596,"CRREM"
2029,"USA",19.21386408,712846420.369858,"CRREM"
2030,"USA",16.87702638,635707063.368753,"CRREM"
2031,"USA",14.9044704,569802907.806408,"CRREM"
2032,"USA",12.98670762,503762381.197058,"CRREM"
2033,"USA",11.19442507,440476509.223935,"CRREM"
2034,"USA",9.521796013,379938954.219826,"CRREM"
2035,"USA",7.968257668,322341181.041773,"CRREM"
2036,"USA",6.509394181,266893225.889923,"CRREM"
2037,"USA",5.168535521,214733377.133986,"CRREM"
2038,"USA",4.030930737,169654834.550653,"CRREM"
2039,"USA",3.12120799,133048314.957687,"CRREM"
2040,"USA",2.393391082,103306106.623057,"CRREM"
2041,"USA",1.989142995,86917401.0772907,"CRREM"
2042,"USA",1.684138101,74482166.6668765,"CRREM"
2043,"USA",1.417351481,63429913.2455821,"CRREM"
2044,"USA",1.186079569,53701067.2805849,"CRREM"
2045,"USA",0.970742071,44456826.4592595,"CRREM"
2046,"USA",0.816118666,37797989.7549221,"CRREM"
2047,"USA",0.66847281,31303824.6067343,"CRREM"
2048,"USA",0.538360689,25486185.9700279,"CRREM"
2049,"USA",0.419305131,20063244.1738599,"CRREM"
2050,"USA",0.306287644,14810288.059344,"CRREM"
